Spotify_ID,Artist,Title,Year,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Clustering Coefficient,Community
4PrGyX4YgCT6V3YqY7XEUw,Kenya Grace,Only In My Mind,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1048
1ZWvh2Rd0rqsvHqgEFFdUN,NAVA,Azadi,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1058
4P1hXuJRhPyN9cq7W4YCcs,BLUEM,angel - Anunaku Remix,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
7KCqSmpnDXwuhHgaMZ5wli,Palmaria,Ticking Bomb,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1020
1lbBNRQCOHjKWT1GwD0ngE,BLUEM,gold,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
7JJvXMvPZ4MwiixlsvW8yt,BLUEM,piano song,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
37uPp5Yt6Rzxvo39wkofo3,BLUEM,dear,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
1E48kr5Y1GkVj74y9jh9mE,BLUEM,moonlight,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1057
5negLbth2gtd9CTItq2aS0,NAVA,Runway,2013,0.0004667444574095683,0.0,0.0004667444574095683,1.0,1058
5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,2013,0.003267211201866978,0.0,0.003267211201866978,1.0,338
2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,2013,0.0039673278879813305,0.0,0.0039673278879813305,1.0,1240
0FDzzruyVECATHXKHFs9eJ,Coldplay,A Sky Full of Stars,2013,0.0030338389731621937,0.0,0.0030338389731621937,1.0,1382
3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,2013,0.0,0.0,0.0,0.0,170
4gbVRS8gloEluzf0GzDOFc,Maroon 5,Maps,2013,0.009101516919486581,0.0,0.009101516919486581,1.0,394
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,2013,0.007001166861143524,0.0,0.007001166861143524,1.0,659
7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,2013,0.0037339556592765463,0.0,0.0037339556592765463,1.0,1471
3cHyrEgdyYRjgJKSOiOtcS,Pitbull,Timber (feat. Ke$ha),2013,0.004200700116686115,0.0,0.004200700116686115,1.0,1214
4nVBt6MZDDP6tRVdQTgxJg,One Direction,Story of My Life,2013,0.003267211201866978,0.0,0.003267211201866978,1.0,338
62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,Only Love Can Hurt Like This,2013,0.0,0.0,0.0,0.0,1063
4jbmgIyjGoXjY01XxatOx6,Katy Perry,Dark Horse,2013,0.008868144690781798,0.0,0.008868144690781798,1.0,1064
34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,2013,0.007001166861143524,0.0,0.007001166861143524,1.0,659
6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Summer,2013,0.005834305717619603,0.0,0.005834305717619603,1.0,842
5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,Stay With Me,2013,0.0037339556592765463,0.0,0.0037339556592765463,1.0,1471
6RtPijgfPKROxEzTHNRiDp,MAGIC!,Rude,2013,0.00023337222870478414,0.0,0.00023337222870478414,0.0,1334
2iuZJX9X9P0GKaE93xcPjk,Maroon 5,Sugar,2013,0.009101516919486581,0.0,0.009101516919486581,1.0,394
6FE2iI43OZnszFLuLtvvmg,MKTO,Classic,2013,0.0,0.0,0.0,0.0,171
60nZcImufyMA1MKQY3dcCH,Pharrell Williams,"Happy - From ""Despicable Me 2""",2013,0.0,0.0,0.0,0.0,164
2ixsaeFioXJmMgkkbd4uj1,George Ezra,Budapest,2013,0.0014002333722287048,0.0,0.0014002333722287048,1.0,1066
3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,Riptide,2013,0.0007001166861143524,0.0,0.0007001166861143524,1.0,1412
3G6hD9B2ZHOsgf4WfNu7X1,Lorde,Team,2013,0.0018669778296382731,0.0,0.0018669778296382731,1.0,1235
5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,Love Me Harder,2013,0.00840140023337223,0.0,0.00840140023337223,1.0,1227
2Bs4jQEGMycglOfWPBqrVG,One Direction,Steal My Girl,2013,0.003267211201866978,0.0,0.003267211201866978,1.0,338
2bL2gyO6kBdLkNSkxXNh6x,Maroon 5,Animals,2013,0.009101516919486581,0.0,0.009101516919486581,1.0,394
5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,2013,0.0,0.0,0.0,0.0,181
